System,Dataset,MAPE,MAE,RMSE
batlik,corona.csv,0.1224210751498534,0.18204390844744545,0.2634633985424087
batlik,cranium.csv,0.03368106614573857,0.07068065736207331,0.09916359029241106
batlik,cubus.csv,0.03960797919205095,0.2445239625112751,0.34081548848791204
batlik,flame.csv,0.032209833690906256,0.05803969290770777,0.07808691553604974
batlik,france.csv,0.040021554496806465,0.14802483213730397,0.19574069432423036
batlik,frisco.csv,0.050597432454440226,0.24654983311682185,0.3352460779253083
batlik,jelly.csv,0.17007408609258415,0.3236106244069881,0.4419210992791673
batlik,karte.csv,0.1507900649187499,1.4928765905566257,1.8997822712463808
batlik,mandelbrot.csv,0.047244026878409846,0.06259177845382728,0.08503355049958113
batlik,strawberry.csv,0.0547843033365773,0.09442288605851146,0.13196881893911183
batlik,village.csv,0.5736707220377278,1.7949918009879324,2.443319234159407
dconvert,jpeg-large.csv,0.1347027743248985,0.41914411739662777,0.5702687192136116
dconvert,jpeg-medium.csv,0.10186278767717462,0.17826777517093864,0.2432569478212
dconvert,jpeg-small.csv,0.03533734411405031,0.01517795105121289,0.019362135186221492
dconvert,png-large.csv,0.09291242352209528,0.22014856786572792,0.28174539053340386
dconvert,png-medium.csv,0.03557811093112643,0.02313960947699843,0.029174028075661978
dconvert,png-small.csv,0.033196946443204804,0.014904939747158718,0.019591867484755453
dconvert,psd-large.csv,0.01402752378530374,0.5265852646175541,0.8506007511498136
dconvert,psd-medium.csv,0.05177876584691294,0.0674685621687998,0.09053300561345246
dconvert,psd-small.csv,0.03552887206688596,0.01986365381213723,0.02470001109245779
dconvert,svg-large.csv,0.02012004762106381,0.030332343550704965,0.03905528093575811
dconvert,svg-medium.csv,0.01703201669865542,0.026204628211350268,0.03281173143572152
dconvert,svg-small.csv,0.035812993544910826,0.020129781728725392,0.025121280124790934
h2,smallbank-1.csv,0.05677846069647546,1117.1896475284439,1342.340807865471
h2,smallbank-10.csv,0.04646064384052187,633.9763072764275,764.3385421140719
h2,tpcc-2.csv,0.04130889308828455,30.37963227478021,37.50570546222118
h2,tpcc-8.csv,0.20449439671343392,109.55620776778095,165.10452514773317
h2,voter-16.csv,0.07652637398974026,2429.208637754074,2708.248262202075
h2,voter-2.csv,0.07989202041759984,2523.0022393939385,2803.66253575516
h2,ycsb-2400.csv,0.08917357796567897,1261.8975656202347,1548.0978298527814
h2,ycsb-600.csv,0.08288693938611157,1686.8954508818078,2096.5857637191516
jump3r,beethoven.wav.csv,0.2541134770362245,2.24389600845608,2.8870662097703383
jump3r,dual-channel.wav.csv,0.2258971644735396,0.6019047708466555,0.8349033577658256
jump3r,helix.wav.csv,0.24324989575761943,1.0630091932012373,1.453500088441653
jump3r,single-channel.wav.csv,0.1855652451252343,0.31916780498899916,0.4234555254187962
jump3r,speech.wav.csv,0.1950286593921029,0.8008628553492727,1.0140725089272675
jump3r,sweep.wav.csv,0.11750519843913697,0.06918797016865862,0.08808887477855724
kanzi,ambivert.csv,1.3994942498116234,16.972200231497066,27.66275607598193
kanzi,artificl.csv,0.46497465987166864,0.1984827006170391,0.29475644688109753
kanzi,deepfield.csv,17.671431026866284,18.791975304435287,29.048237576109596
kanzi,enwik8.csv,2.587535463607486,39.52747600736297,62.357065733432684
kanzi,fannie_mae_500k.csv,4.055666315508385,34.78881777412053,53.90416605272808
kanzi,large.csv,1.3926887669066,4.378354836791825,6.887894171176124
kanzi,misc.csv,0.4573614820339624,0.4038143514165981,0.6133132195069319
kanzi,silesia.csv,2.872663308933157,82.26206448228332,129.54918500370766
kanzi,vmlinux.csv,28.807190765217456,162.75779255557143,220.9350993290578
lrzip,ambivert.wav.tar.csv,1.4938087897325107,15.158962657789866,25.545045970751914
lrzip,artificl.tar.csv,14.08761415093125,1.2849000984979504,1.4398904828047234
lrzip,deepfield.tar.csv,1.4701027137441163,14.658678311567163,24.620340903692334
lrzip,enwik8.tar.csv,1.04127236862756,19.541034029782406,29.144978008202173
lrzip,fannie_mae_500k.tar.csv,0.1230035421723269,5.463800568652911,8.143302149347731
lrzip,large.tar.csv,0.9829648650284382,2.3543999504245785,3.1106504931691763
lrzip,misc.tar.csv,2.7336209937193714,1.2812308064428646,1.468695191191394
lrzip,silesia.tar.csv,1.180076068780958,33.218184000554864,50.48930456080165
lrzip,uiq-32.bin.csv,1.9090569133479798,56.162021684706644,85.19181862382902
lrzip,uiq2-16.bin.csv,1.7267167747610672,30.53954433879892,46.19599722239229
lrzip,uiq2-4.bin.csv,1.1943887334266345,7.515342151705442,11.918593526710476
lrzip,uiq2-8.bin.csv,1.4218446786697527,15.266790634289938,23.346095024459043
lrzip,vmlinux-5.10.tar.csv,0.7817792992674311,4.848137079000829,7.38053065139498
x264,Johnny_1280x720_60_short.y4m.csv,0.8959028708446057,2.5686695862680726,3.3518259796824474
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7852362529855937,8.695407873406102,11.258145987749039
x264,blue_sky_1080p25_short.y4m.csv,0.7858906392098648,3.134765562268687,4.062458669819943
x264,pedestrian_area_1080p25_short.y4m.csv,0.7175037107030212,3.5562813885927995,4.605534785391949
x264,riverbed_1080p25_short.y4m.csv,0.6619002083128627,6.64241109472912,8.776553663335816
x264,sd_bridge_close_cif_short.y4m.csv,0.5153819121723511,0.14070879638217024,0.18076973839840169
x264,sd_city_4cif_short.y4m.csv,0.8328176476924275,1.478851786465099,1.90174647250398
x264,sd_crew_cif_short.y4m.csv,0.6227875641749161,0.24412300352478855,0.3157887449457267
