Dataset,MAPE,MAE,RMSE
corona.csv,0.0034347628296892076,0.0009383925613439826,0.001305607301313444
cranium.csv,0.0012506228733944692,0.000359913006463342,0.00048128171090818916
cubus.csv,0.01195504501255022,0.039801154966111835,0.05123662967372479
flame.csv,0.015085144724134395,0.020686517416467237,0.02647707152397125
france.csv,0.000762322826653797,0.00026169205055643827,0.0003574629069830008
frisco.csv,0.005807323178091984,0.004565649941770008,0.005959432341270252
jelly.csv,0.0017477695082003851,0.0005035480799055409,0.0006679792949661139
karte.csv,0.002382120550447854,0.0023802865874515576,0.0030478137990039476
mandelbrot.csv,0.0007118726711244269,0.00013109969525425052,0.0001757683224379001
strawberry.csv,0.004777908535964891,0.001961893507301468,0.0025827015536428574
village.csv,0.0016972626673019088,0.0006763601140656959,0.0009106913797349227
jpeg-large.csv,0.003867532571048538,0.0021508988266373255,0.0028722057807946413
jpeg-medium.csv,0.0030624169352561886,0.0010795387658373633,0.0014815229758627455
jpeg-small.csv,0.012403021985208925,0.0024309667585597494,0.003113196312363441
png-large.csv,0.002369317814301941,0.0009216766665446734,0.001211049665862143
png-medium.csv,0.005690557844852761,0.0011330334869245604,0.0014861283162413785
png-small.csv,0.005040722538991763,0.0006318853539886702,0.0008255851108626389
psd-large.csv,0.008487681890601546,0.0799042387733442,0.1273631710086206
psd-medium.csv,0.0009034494684739691,0.00016564340929941423,0.00021852540704280515
psd-small.csv,0.00799786581790078,0.0014652417343050282,0.0018399742032192009
svg-large.csv,1.2690589816901283e-10,5.391886413953369e-12,6.6046293166971555e-12
svg-medium.csv,0.0020946415135955515,0.0006583326996329045,0.0008324674384477625
svg-small.csv,0.022014767806901182,0.011496093460355692,0.014597643383596112
smallbank-1.csv,1.8283830791352692e-10,8.592555107713872e-11,1.0611069266530331e-10
smallbank-10.csv,3.132980065634844e-14,9.878809865538137e-15,1.1586215548546086e-14
tpcc-2.csv,9.202761610032565e-13,2.274491403472909e-13,2.7143330118150247e-13
tpcc-8.csv,0.05469977168938125,0.65495754788902,0.9261255968635639
voter-16.csv,1.1660786028151424e-12,4.538377056331533e-13,5.547713419732519e-13
voter-2.csv,1.7936729690575808e-13,6.499760033621932e-14,7.810029900713156e-14
ycsb-2400.csv,1.1858048551378593e-06,1.048176958729225e-06,1.375672178818101e-06
ycsb-600.csv,0.05813157047588892,1377.4250000912011,1954.112564282329
beethoven.wav.csv,0.08192918bee8300541,0.24485972645413154,0.324318972357173
dual-channel.wav.csv,0.07918079522948702,0.08349148520449419,0.1089594563177642
helix.wav.csv,0.07975657656222826,0.1224142706560398,0.15867503986040385
single-channel.wav.csv,0.0810673364042341,0.07315675800706191,0.09637996818412972
speech.wav.csv,0.08817141738642764,0.1868842901202726,0.24441717702615187
sweep.wav.csv,0.047249452748011664,0.014621591496026178,0.01891552308223637
ambivert.csv,0.15260248218719877,0.2874989080602285,0.4422328653658332
artificl.csv,0.11616250583215051,0.02116287399777183,0.03136564636009948
deepfield.csv,0.6908876708578867,0.38692923541967816,0.6352568159660941
enwik8.csv,0.1593790231457948,0.32651266590807076,0.49606976988399676
fannie_mae_500k.csv,0.1466918983062991,0.20816378136957162,0.3336367328165528
large.csv,0.13689300095541507,0.10963436702161201,0.17745483566661466
misc.csv,0.1174335139953007,0.04109334143009546,0.061951387482788195
silesia.csv,0.12843221761410192,0.3463413149594311,0.5511664852500757
vmlinux.csv,0.14707119382301262,0.20091220870144677,0.3088644254031382
ambivert.wav.tar.csv,0.06426370679220161,0.05667639965735228,0.07712658177090433
artificl.tar.csv,6.6754501605456245,0.5045816824809813,0.6409821342935255
deepfield.tar.csv,0.06799371804734132,0.05980572846094047,0.08097040887062969
enwik8.tar.csv,0.01402788646552659,0.010176055726264078,0.01329773841851259
fannie_mae_500k.tar.csv,2.3835611463300923e-10,4.101998242993663e-11,5.2272130766805604e-11
large.tar.csv,0.39501002851851985,0.3917614297094038,0.4812550468653857
misc.tar.csv,1.45836859590851,0.5919987461610013,0.7689940961634281
silesia.tar.csv,0.00955480829309198,0.007116577114602846,0.009106340993793122
uiq-32.bin.csv,0.027070002842528647,0.025518349657683626,0.031103673975208055
uiq2-16.bin.csv,0.03774834698398692,0.034145110877899086,0.044414853989122136
uiq2-4.bin.csv,0.11603000239176325,0.10250942031005045,0.13630974496482795
uiq2-8.bin.csv,0.05867603487377673,0.051678931266744346,0.06727453236944454
vmlinux-5.10.tar.csv,0.08954376401555705,0.07896138386366401,0.10249219916252483
Johnny_1280x720_60_short.y4m.csv,0.16650366526982358,0.20282261502215013,0.3069711433968291
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.10795614593435085,0.2655934092236368,0.4075240086976371
blue_sky_1080p25_short.y4m.csv,0.14250162806965908,0.21037659001632839,0.32021188524031086
pedestrian_area_1080p25_short.y4m.csv,0.1318526057275092,0.22422362624412118,0.3450276091044855
riverbed_1080p25_short.y4m.csv,0.12749230253681432,0.30108109621180723,0.45161099221477485
sd_bridge_close_cif_short.y4m.csv,0.20266561799478897,0.04058268772428212,0.061418972804898164
sd_city_4cif_short.y4m.csv,0.22468176467331624,0.19828924485565794,0.29497865475614743
sd_crew_cif_short.y4m.csv,0.21050770798508545,0.058537257164034795,0.08760289878068435
sintel_trailer_2k_720p24_short.y4m.csv,0.1900833779759074,0.0911652740354269,0.13417750181998309
ambivert.wav.tar.csv,0.039753632800208695,0.04847049559434358,0.07951812544332161
artificl.tar.csv,0.3127201854312339,0.007343865889251993,0.00881456524143771
